trip_id,distance_km,avg_speed_kmh,passenger_count,max_passengers,ac_on,ambient_temp_c,traffic_level,energy_consumed_kwh
204,8.0,15,20,50,1,32,normal,11.2
205,7.0,15,25,50,1,28,low,8.9
206,2.0,10,25,50,1,37,jam,3.8
207,20.0,30,15,50,1,30,low,26.8
208,2.0,15,50,50,1,38,jam,3.7
209,5.0,30,25,50,0,32,high,7.9
210,15.0,10,25,50,0,39,normal,22.3
211,10.0,20,5,50,1,25,low,12.5
212,8.0,35,15,50,0,31,low,10.7
213,8.0,30,50,50,0,27,normal,11.5
214,2.0,20,20,50,0,25,normal,2.7
215,20.0,15,40,50,1,34,high,35.8
216,5.0,15,5,50,0,36,normal,6.7
217,10.0,35,45,50,0,40,low,14.1
218,5.0,40,30,50,1,36,jam,9.8
219,10.0,15,10,50,0,38,normal,14.0
220,7.0,10,30,50,0,32,low,9.0
221,7.0,35,35,50,0,27,normal,10.0
222,7.0,25,40,50,1,26,low,9.6
223,8.0,15,15,50,0,33,high,12.6
224,20.0,25,40,50,1,27,low,25.6
225,5.0,20,10,50,0,34,low,5.9
226,8.0,35,5,50,1,33,low,9.6
227,3.5,35,10,50,1,38,low,4.3
228,2.0,40,45,50,1,39,normal,3.0
229,10.0,20,5,50,0,28,normal,13.5
230,7.0,40,40,50,1,38,normal,9.9
231,7.0,40,40,50,1,37,normal,10.5
232,10.0,20,10,50,0,30,normal,13.7
233,5.0,40,45,50,1,29,high,8.2
234,7.0,10,5,50,0,28,low,8.1
235,7.0,15,15,50,1,37,low,9.0
236,3.5,40,40,50,1,25,jam,6.5
237,5.0,15,45,50,1,30,low,7.0
238,20.0,20,30,50,0,33,low,27.8
239,8.0,35,25,50,0,30,normal,11.8
240,10.0,35,40,50,0,33,high,16.5
241,5.0,20,40,50,1,28,low,6.6
242,7.0,20,20,50,1,30,high,10.8
243,2.0,35,40,50,1,27,normal,2.9
244,20.0,15,15,50,0,36,low,25.6
245,10.0,15,30,50,1,27,jam,17.8
246,15.0,10,50,50,1,40,normal,23.1
247,8.0,35,20,50,0,35,low,10.0
248,3.5,30,35,50,1,36,normal,5.0
249,8.0,15,20,50,0,39,low,11.0
250,5.0,35,5,50,1,38,low,6.0
251,7.0,15,25,50,0,35,jam,12.7
252,2.0,35,40,50,0,33,high,3.1
253,10.0,25,15,50,0,29,low,12.8
254,10.0,25,45,50,0,34,low,12.7
255,3.5,40,40,50,0,40,normal,5.2
256,15.0,40,5,50,0,25,low,19.8
257,15.0,40,10,50,1,29,normal,20.6
258,10.0,35,15,50,1,27,high,14.7
259,3.5,25,5,50,0,38,jam,6.4
260,5.0,40,5,50,1,28,normal,7.0
261,3.5,15,25,50,0,34,high,5.6
262,15.0,25,40,50,0,32,jam,27.6
263,8.0,30,20,50,1,37,jam,14.8
264,7.0,25,50,50,0,35,high,11.7
265,7.0,20,50,50,1,30,jam,13.4
266,10.0,20,50,50,1,32,low,12.4
267,3.5,10,5,50,1,32,high,5.3
268,20.0,25,25,50,1,29,jam,37.6
269,15.0,15,5,50,1,39,jam,26.5
270,7.0,35,35,50,0,25,low,9.0
271,10.0,40,15,50,0,39,jam,19.1
272,3.5,25,45,50,0,34,low,4.5
273,5.0,40,20,50,0,34,low,6.3
274,5.0,15,5,50,0,35,jam,9.1
275,7.0,20,15,50,0,32,normal,8.6
276,20.0,10,5,50,0,39,low,24.2
277,10.0,15,10,50,0,25,low,12.3
278,7.0,35,30,50,0,39,jam,13.3
279,20.0,10,35,50,0,40,low,24.7
280,20.0,20,5,50,1,37,low,22.9
281,20.0,20,10,50,0,38,low,26.0
282,7.0,10,10,50,0,30,normal,8.5
283,15.0,25,5,50,0,37,jam,26.3
284,3.5,20,10,50,0,25,jam,6.4
285,15.0,25,10,50,1,37,high,24.1
286,8.0,35,45,50,0,29,high,12.7
287,5.0,10,40,50,1,27,normal,7.4
288,10.0,20,20,50,1,29,jam,18.5
289,8.0,35,35,50,0,26,jam,16.0
290,8.0,20,15,50,1,37,jam,15.2
291,3.5,15,5,50,1,29,high,5.6
292,5.0,40,35,50,0,28,jam,9.3
293,8.0,35,45,50,1,29,normal,11.7
294,10.0,20,35,50,0,40,jam,19.1
295,3.5,20,5,50,1,33,normal,4.6
296,2.0,35,30,50,1,38,high,3.5
297,3.5,15,10,50,0,29,high,5.4
298,3.5,25,45,50,0,26,normal,5.4
299,8.0,10,30,50,0,36,normal,10.9
300,5.0,15,45,50,1,31,low,6.6
301,8.0,10,50,50,1,36,low,10.9
302,7.0,35,5,50,1,29,high,10.7
303,5.0,15,25,50,0,32,high,8.4
304,15.0,20,30,50,0,31,normal,20.5
305,20.0,35,30,50,0,32,low,26.1
306,5.0,20,20,50,1,25,high,7.4
307,5.0,30,10,50,1,34,low,6.2
308,5.0,15,45,50,0,27,high,8.9
309,3.5,30,15,50,1,30,normal,4.8
310,5.0,20,5,50,1,25,low,6.0
311,2.0,40,5,50,1,36,high,3.2
312,8.0,35,30,50,1,33,jam,15.5
313,2.0,25,50,50,1,37,low,2.8
314,10.0,40,25,50,0,33,high,16.0
315,20.0,15,35,50,0,26,low,26.1
316,3.5,20,50,50,1,25,high,6.0
317,15.0,20,10,50,0,29,high,24.2
318,7.0,40,40,50,0,28,low,8.9
319,10.0,10,10,50,0,40,low,11.6
320,15.0,20,50,50,0,38,normal,22.8
321,15.0,30,10,50,0,40,jam,26.7
322,20.0,25,45,50,0,38,normal,28.7
323,15.0,40,20,50,1,25,low,19.0
324,20.0,35,10,50,1,26,jam,35.7
325,8.0,10,5,50,0,38,low,9.0
326,20.0,25,50,50,0,37,low,25.7
327,5.0,25,30,50,0,32,high,8.0
328,8.0,15,45,50,1,28,high,13.9
329,5.0,25,30,50,0,27,low,6.3
330,3.5,20,40,50,0,29,normal,5.1
331,10.0,40,35,50,0,33,low,13.4
332,5.0,15,15,50,1,26,normal,7.6
333,2.0,20,15,50,1,37,normal,2.5
334,5.0,25,45,50,1,33,high,8.2
335,7.0,15,45,50,0,32,high,11.3
336,20.0,25,30,50,0,35,jam,37.6
337,20.0,15,10,50,1,29,normal,27.5
338,5.0,15,15,50,1,32,jam,9.6
339,20.0,20,5,50,0,32,normal,26.3
340,5.0,20,45,50,0,35,low,6.8
341,2.0,30,50,50,0,39,jam,3.8
342,5.0,30,50,50,0,27,low,6.9
343,15.0,15,50,50,0,35,jam,28.6
344,7.0,15,35,50,0,40,normal,10.2
345,10.0,20,5,50,1,25,low,12.7
346,20.0,30,15,50,0,30,jam,34.2
347,10.0,40,50,50,1,40,low,14.3
348,10.0,30,30,50,1,28,jam,17.8
349,7.0,15,20,50,0,40,high,11.4
350,10.0,10,30,50,0,32,normal,14.7
351,3.5,15,20,50,1,27,high,6.0
352,3.5,40,50,50,1,38,normal,5.2
353,8.0,25,5,50,0,37,high,12.4
354,8.0,20,20,50,0,26,jam,14.3
355,10.0,25,30,50,0,35,high,16.5
356,20.0,30,20,50,0,27,normal,27.6
357,8.0,20,5,50,1,36,normal,10.6
358,20.0,10,45,50,1,36,jam,38.9
359,15.0,25,40,50,0,38,jam,29.1
360,15.0,20,10,50,0,31,jam,27.2
361,8.0,25,25,50,1,36,jam,15.7
362,2.0,35,35,50,1,38,low,2.7
363,7.0,25,45,50,0,40,normal,10.5
364,8.0,30,10,50,0,32,jam,13.7
365,20.0,30,5,50,1,29,jam,34.2
366,15.0,40,30,50,0,35,jam,29.9
367,2.0,10,30,50,0,32,low,2.5
368,2.0,25,45,50,0,40,normal,2.9
369,20.0,35,30,50,0,28,jam,37.1
370,7.0,10,10,50,0,25,low,8.6
371,8.0,35,5,50,1,28,low,9.4
372,15.0,15,50,50,1,39,normal,22.6
373,3.5,40,5,50,0,35,jam,6.6
374,20.0,15,20,50,0,39,normal,28.1
375,15.0,40,20,50,1,28,jam,27.3
376,5.0,40,45,50,1,34,jam,10.3
377,5.0,15,30,50,1,31,jam,9.2
378,15.0,30,35,50,1,27,jam,28.0
379,3.5,35,10,50,0,30,high,5.1
380,5.0,30,30,50,0,39,high,8.2
381,15.0,25,5,50,0,29,normal,21.0
382,8.0,25,20,50,1,32,jam,14.7
383,2.0,20,45,50,0,34,jam,4.1
384,15.0,15,20,50,1,31,normal,19.9
385,5.0,20,50,50,1,37,normal,7.4
386,8.0,40,5,50,1,34,high,11.1
387,7.0,35,35,50,1,36,normal,10.1
388,10.0,35,40,50,1,33,high,17.4
389,3.5,40,30,50,0,35,low,4.3
390,20.0,25,40,50,0,37,jam,40.1
391,15.0,40,50,50,1,30,high,24.9
392,7.0,35,45,50,1,29,low,8.7
393,20.0,20,5,50,1,40,low,25.6
394,8.0,10,5,50,1,36,jam,15.3
395,7.0,40,30,50,0,35,jam,12.9
396,3.5,30,5,50,1,27,high,5.3
397,8.0,30,25,50,0,25,low,10.6
398,15.0,40,10,50,1,36,high,23.6
399,7.0,40,20,50,1,26,jam,12.5
400,8.0,10,35,50,1,37,jam,16.0
401,10.0,30,30,50,0,26,high,16.1
402,2.0,15,40,50,0,32,high,3.6
403,7.0,20,40,50,1,38,low,9.0
404,20.0,35,25,50,0,29,jam,38.0
405,3.5,35,10,50,1,40,normal,4.9
406,2.0,30,45,50,0,37,low,2.6
407,2.0,20,20,50,1,37,normal,3.0
408,10.0,15,10,50,0,33,low,11.7
409,5.0,30,5,50,1,38,jam,8.5
410,2.0,25,50,50,0,39,high,3.5
411,5.0,25,45,50,1,25,low,6.4
412,3.5,20,15,50,1,38,jam,6.3
413,3.5,15,45,50,1,29,high,5.5
414,7.0,40,35,50,1,38,normal,10.2
415,7.0,20,25,50,0,35,high,11.2
416,5.0,40,20,50,1,37,low,6.5
417,5.0,15,20,50,1,29,jam,9.5
418,7.0,20,40,50,1,34,jam,13.7
419,10.0,15,10,50,1,37,low,12.7
420,15.0,40,50,50,0,37,high,26.6
421,15.0,40,40,50,0,34,low,20.9
422,2.0,25,40,50,0,34,low,2.6
423,5.0,30,35,50,0,30,normal,7.1
424,2.0,40,50,50,0,34,jam,4.0
425,8.0,15,40,50,0,40,jam,15.8
426,3.5,20,20,50,1,31,jam,6.3
427,2.0,15,15,50,0,34,jam,3.4
428,2.0,20,10,50,0,31,low,2.4
429,2.0,35,25,50,1,27,high,3.3
430,2.0,35,45,50,1,33,normal,2.8
431,20.0,20,35,50,0,26,low,24.1
432,2.0,10,35,50,1,36,jam,3.6
433,5.0,25,50,50,1,34,normal,7.4
434,20.0,30,5,50,0,27,jam,34.9
435,20.0,10,30,50,1,31,low,28.0
436,7.0,30,25,50,1,30,jam,12.9
437,3.5,20,30,50,1,37,jam,7.0
438,15.0,25,10,50,0,25,normal,19.3
439,3.5,40,20,50,1,30,jam,6.8
440,15.0,15,45,50,1,40,high,26.4
441,2.0,25,40,50,1,27,jam,3.7
442,5.0,35,25,50,1,32,jam,9.2
443,7.0,10,45,50,1,29,normal,10.2
444,15.0,10,25,50,1,36,jam,28.9
445,7.0,15,20,50,1,31,low,8.6
446,3.5,20,45,50,0,25,low,4.4
447,5.0,25,35,50,1,28,normal,7.5
448,5.0,40,30,50,1,29,jam,9.4
449,3.5,25,5,50,1,30,normal,5.0
450,3.5,35,30,50,0,40,high,5.9
451,7.0,35,45,50,0,29,high,11.9
452,3.5,35,20,50,1,40,normal,4.7
453,2.0,15,45,50,0,30,low,2.7
454,10.0,35,20,50,0,27,high,16.3
455,10.0,10,25,50,0,32,normal,14.1
456,20.0,25,20,50,1,37,normal,28.8
457,15.0,35,10,50,0,31,jam,28.0
458,3.5,15,45,50,0,38,normal,4.7
459,3.5,30,40,50,0,33,high,5.6
460,2.0,25,15,50,1,40,high,3.1
461,7.0,10,20,50,1,31,jam,13.5
462,7.0,30,20,50,1,36,jam,13.5
463,15.0,15,25,50,1,39,jam,27.0
464,5.0,25,30,50,0,31,normal,7.5
465,8.0,35,25,50,1,31,normal,11.2
466,10.0,40,25,50,1,31,normal,13.5
467,20.0,40,25,50,0,37,low,25.9
468,8.0,15,25,50,1,40,low,10.9
469,2.0,20,5,50,0,35,jam,3.3
470,8.0,15,20,50,1,28,normal,11.3
471,7.0,15,40,50,0,33,high,11.1
472,8.0,15,5,50,0,40,low,8.8
473,20.0,10,45,50,1,26,low,27.1
474,3.5,15,40,50,0,36,low,4.5
475,15.0,15,40,50,1,30,high,25.5
476,15.0,30,15,50,1,40,low,18.7
477,2.0,40,25,50,1,37,jam,3.8
478,8.0,20,40,50,0,32,high,13.0
479,8.0,25,25,50,0,34,jam,14.2
480,15.0,20,35,50,0,36,high,23.2
481,5.0,15,25,50,1,38,low,6.3
482,10.0,40,5,50,1,32,high,15.9
483,20.0,10,45,50,1,39,normal,30.2
484,2.0,15,35,50,1,39,normal,2.9
485,3.5,30,20,50,1,35,jam,6.5
486,20.0,40,10,50,0,34,high,29.5
487,2.0,15,35,50,1,33,low,2.5
488,2.0,15,30,50,1,38,jam,3.5
489,8.0,25,15,50,1,25,normal,11.4
490,7.0,10,10,50,1,37,low,8.8
491,8.0,35,40,50,1,32,normal,12.0
492,5.0,35,30,50,1,33,high,8.5
493,7.0,30,10,50,0,37,normal,9.8
494,15.0,40,15,50,1,32,high,24.1
495,8.0,35,25,50,1,25,low,9.9
496,15.0,30,35,50,0,39,jam,28.7
497,20.0,30,40,50,1,34,normal,30.1
498,5.0,10,20,50,1,27,jam,9.6
499,20.0,15,10,50,1,33,high,32.4
500,5.0,20,10,50,0,40,low,6.3
